Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31,,,,,,
Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76,,,,,,
Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,,,,,,
Defender,2600,1980,Misc,Atari,0.99,0.05,0,0.01,1.05,,,,,,
Boxing,2600,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77,,,,,,
Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49,,,,,,
Freeway,2600,1980,Action,Activision,0.32,0.02,0,0,0.34,,,,,,
Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27,,,,,,
Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24,,,,,,
Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,,,,,,
Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2,,,,,,
Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13,,,,,,
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97,,,,,,
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65,,,,,,
River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6,,,,,,
Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46,,,,,,
Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,,,,,,
Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27,,,,,,
Megamania,2600,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1,,,,,,
Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05,,,,,,
Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0,0.01,0.97,,,,,,
Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93,,,,,,
Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0,0.01,0.82,,,,,,
Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79,,,,,,
Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77,,,,,,
Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73,,,,,,
King Kong,2600,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69,,,,,,
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67,,,,,,
